id,status,urgency,category,category_ar,client_username,client_name,client_phone,worker_username,worker_name,worker_phone,address,latitude,longitude,commission,created_at,accepted_at,completed_at,cancelled_at
1,IN_PROGRESS,NORMAL,كهرباء,كهرباء,user4515,Sherif Shaker,01033142896,user435,Hany Said,01071036720,127 St,28.564852,31.980109,192.41,2025-01-26 15:00:21,2025-01-26 16:00:21,,
2,COMPLETED,HIGH,نجاره,نجاره,user2224,Hassan Ali,01073140855,user4462,Reem Khaled,01091422869,186 St,28.050343,29.204086,176.08,2025-12-29 07:29:10,2025-12-29 15:29:10,2025-12-30 13:29:10,
3,CANCELLED,HIGH,كهرباء,كهرباء,user148,Yasmin Gamal,01071352751,user2949,Rania Hatem,01011915171,146 St,25.454742,28.526829,75.9,2026-04-09 12:50:12,2026-04-09 16:50:12,,2026-04-09 16:50:12
4,COMPLETED,URGENT,سباكه,سباكه,user2803,Maha Gamal,01023456105,user99,Maha Mohamed,01074672520,70 St,27.910876,35.822263,38.48,2024-07-09 23:44:10,2024-07-10 06:44:10,2024-07-11 06:44:10,
5,COMPLETED,NORMAL,خدمات منزليه,خدمات منزليه,user1579,Hassan Shaker,01038568706,user2214,Amany Gamal,01061505306,170 St,23.600697,30.45668,185.13,2024-06-21 11:54:30,2024-06-21 18:54:30,2024-06-22 16:54:30,
6,PENDING,URGENT,سباكه,سباكه,user4463,Reem Yasser,01012075795,user4503,Hassan Adel,01062868567,,28.910367,32.119678,125.12,2025-02-02 04:15:36,,,
7,CANCELLED,NORMAL,كهرباء,كهرباء,user1635,Laila Shaker,01039071005,user3509,Ibrahim Adel,01088417702,42 St,26.299417,30.780982,154.64,2025-02-02 11:32:19,2025-02-02 13:32:19,,2025-02-02 14:32:19
8,IN_PROGRESS,NORMAL,سباكه,سباكه,user1830,Nadia Khaled,01030531509,user1467,Rania Omar,01083541296,,23.060653,36.993263,272.46,2025-07-16 02:41:43,2025-07-16 08:41:43,,
9,COMPLETED,URGENT,كهرباء,كهرباء,user1155,Sherif Ibrahim,01087671284,user3232,Samar Ali,01056162622,,29.471549,31.082817,253.59,2025-02-19 11:29:36,2025-02-19 19:29:36,2025-02-19 23:29:36,
10,COMPLETED,HIGH,سباكه,سباكه,user3605,Nadia Said,01095449749,user592,Shaimaa Said,01039604743,,27.084301,29.397209,23.48,2025-01-30 21:58:36,2025-01-31 04:58:36,2025-02-01 01:58:36,
11,IN_PROGRESS,URGENT,سباكه,سباكه,user1154,Maha Ahmed,01065563827,user205,Ibrahim Ahmed,01096688655,68 St,27.87375,29.739239,238.21,2025-02-18 14:30:44,2025-02-18 21:30:44,,
12,COMPLETED,HIGH,كهرباء,كهرباء,user2215,Khaled Hassan,01041344167,user26,Sherif Hussein,01052169044,,24.095574,35.580291,183.6,2025-06-14 18:19:27,2025-06-15 02:19:27,2025-06-15 12:19:27,
13,COMPLETED,URGENT,كهرباء,كهرباء,user2281,Salma Shaker,01012185553,user479,Amr Mohamed,01037122588,61 St,30.90621,29.870098,150.56,2025-05-04 18:06:57,2025-05-04 23:06:57,2025-05-05 10:06:57,
14,CANCELLED,NORMAL,سباكه,سباكه,user819,Fatma Ahmed,01047465789,user692,Dina Ibrahim,01027878463,,28.190512,27.264436,27.14,2025-07-23 08:36:30,2025-07-23 14:36:30,,2025-07-23 16:36:30
15,CANCELLED,NORMAL,كهرباء,كهرباء,user1370,Sherif Hussein,01013393520,user2738,Maha Fouad,01044919531,76 St,24.48529,31.263298,61.47,2025-01-03 08:05:11,2025-01-03 15:05:11,,2025-01-03 15:05:11
16,COMPLETED,NORMAL,نجاره,نجاره,user757,Emad Said,01076166580,user752,Omar Fouad,01012505049,,25.193959,31.727402,76.33,2025-06-10 19:43:50,2025-06-10 21:43:50,2025-06-11 07:43:50,
