id,username,name,email,phone,role,governorate,city,address,is_active,is_staff,date_joined,last_login
1,user1,Emad Khaled,,01023756669,client,cairo,cairo_city_3,140 cairo_city_3 st,True,False,2025-03-03 05:50:10,
2,user2,Mostafa Khaled,user2@example.com,01013561597,client,alexandria,alexandria_city_1,184 alexandria_city_1 st,True,False,2024-05-25 13:12:42,2025-03-01 13:12:42
3,user3,Ahmed Mohamed,user3@example.com,01055667651,client,gharbia,gharbia_city_2,56 gharbia_city_2 st,True,False,2025-03-08 03:42:04,2025-08-28 03:42:04
4,user4,Ghada Mostafa,user4@example.com,01015831819,client,giza,giza_city_2,138 giza_city_2 st,True,False,2024-05-30 05:50:52,2024-12-10 05:50:52
5,user5,Omar Rashad,,01098753260,client,fayoum,fayoum_city_2,75 fayoum_city_2 st,True,False,2025-07-15 18:43:51,2025-11-12 18:43:51
6,user6,Mariam Mohamed,user6@example.com,01038119557,client,asyut,asyut_city_2,180 asyut_city_2 st,True,False,2025-12-05 08:21:40,2026-11-02 08:21:40
7,user7,Reem Nabil,,01072043515,client,port_said,port_said_city_3,164 port_said_city_3 st,True,False,2024-09-22 20:30:40,2025-01-13 20:30:40
8,user8,Laila Naguib,,01038317637,client,alexandria,alexandria_city_1,146 alexandria_city_1 st,True,False,2024-02-19 20:47:01,2024-07-30 20:47:01
9,user9,Dina Ahmed,,01043101783,client,suez,suez_city_2,138 suez_city_2 st,True,False,2025-09-06 14:13:34,2026-07-03 14:13:34
10,user10,Hany Ahmed,user10@example.com,01022201654,client,matrouh,matrouh_city_2,29 matrouh_city_2 st,True,False,2025-07-16 08:12:20,2025-10-06 08:12:20
11,user11,Nadia Said,user11@example.com,01081016525,client,port_said,port_said_city_1,142 port_said_city_1 st,True,False,2025-08-20 17:09:54,2025-08-26 17:09:54
12,user12,Samar Youssef,,01031227574,client,damietta,damietta_city_3,185 damietta_city_3 st,True,False,2025-02-18 11:57:50,2025-07-03 11:57:50
13,user13,Mona Gamal,user13@example.com,01036697396,worker,qalyubia,qalyubia_city_3,,True,False,2024-06-14 07:16:58,2025-03-18 07:16:58
14,user14,Shaimaa Ali,,01058718453,worker,cairo,cairo_city_3,79 cairo_city_3 st,True,False,2025-05-18 13:24:49,2025-09-19 13:24:49
15,user15,Hassan Yasser,user15@example.com,01027232410,worker,giza,giza_city_1,141 giza_city_1 st,True,False,2026-01-24 23:02:15,2026-10-22 23:02:15
16,user16,Omar Rashad,user16@example.com,01097225156,worker,sohag,sohag_city_1,133 sohag_city_1 st,True,False,2026-04-17 18:24:55,2026-08-22 18:24:55
17,user17,Salma Khaled,user17@example.com,01010965138,client,giza,giza_city_2,,True,False,2024-02-02 16:12:50,2024-05-30 16:12:50
18,user18,Hend Khaled,,01075151231,client,alexandria,alexandria_city_2,34 alexandria_city_2 st,True,False,2024-04-20 01:45:12,2025-02-07 01:45:12
19,user19,Yasmin Hussein,,01098447167,worker,minya,minya_city_1,109 minya_city_1 st,True,False,2026-01-04 17:42:33,2026-02-01 17:42:33
20,user20,Karim Khaled,,01081979055,client,alexandria,alexandria_city_2,109 alexandria_city_2 st,True,False,2025-06-11 02:07:04,2026-02-03 02:07:04
21,user21,Ali Gamal,user21@example.com,01011980765,client,giza,giza_city_2,193 giza_city_2 st,True,False,2024-06-01 02:18:07,2024-08-26 02:18:07
22,user22,Sara Hassan,,01010289289,client,minya,minya_city_2,68 minya_city_2 st,True,False,2024-11-28 01:04:36,2025-07-19 01:04:36
23,user23,Khaled Hussein,,01017849494,client,sohag,sohag_city_3,139 sohag_city_3 st,True,False,2026-01-26 00:25:31,
24,user24,Hend Adel,,01078159587,client,alexandria,alexandria_city_1,,True,False,2026-01-10 15:57:51,2026-11-11 15:57:51
25,user25,Tarek Kamel,,01089795010,client,damietta,damietta_city_1,,True,False,2025-09-19 05:50:37,
26,user26,Sherif Hussein,user26@example.com,01052169044,worker,matrouh,matrouh_city_3,102 matrouh_city_3 st,True,False,2025-05-06 11:07:21,2026-04-02 11:07:21
27,user27,Ahmed Hamdy,user27@example.com,01085563727,client,qena,qena_city_2,19 qena_city_2 st,True,False,2024-04-22 16:36:12,2025-01-07 16:36:12
28,user28,Emad Mostafa,,01068812137,client,sharqia,sharqia_city_2,181 sharqia_city_2 st,True,False,2024-04-16 20:43:33,2025-03-17 20:43:33
29,user29,Karim Ahmed,,01024366125,worker,cairo,cairo_city_3,40 cairo_city_3 st,True,False,2025-04-10 01:38:55,2026-02-14 01:38:55
30,user30,Sherif Adel,user30@example.com,01016818112,client,kafr_el_sheikh,kafr_el_sheikh_city_2,,True,False,2024-11-12 06:39:28,2025-04-03 06:39:28
31,user31,Sherif Mohamed,user31@example.com,01084045292,client,cairo,cairo_city_2,144 cairo_city_2 st,True,False,2024-07-22 05:18:37,
32,user32,Mahmoud Mostafa,user32@example.com,01029876811,client,kafr_el_sheikh,kafr_el_sheikh_city_1,11 kafr_el_sheikh_city_1 st,True,False,2026-04-27 13:04:49,2026-05-18 13:04:49
33,user33,Karim Mostafa,user33@example.com,01064543049,client,beheira,beheira_city_3,192 beheira_city_3 st,True,False,2025-01-22 15:08:34,2025-05-24 15:08:34
34,user34,Ibrahim Nabil,user34@example.com,01065259205,client,qalyubia,qalyubia_city_2,189 qalyubia_city_2 st,True,False,2024-02-08 12:06:09,2024-06-24 12:06:09
35,user35,Mahmoud Fouad,,01071780854,client,kafr_el_sheikh,kafr_el_sheikh_city_1,59 kafr_el_sheikh_city_1 st,True,False,2025-08-17 06:11:20,2026-07-21 06:11:20
36,user36,Hassan Omar,user36@example.com,01078371272,client,asyut,asyut_city_2,138 asyut_city_2 st,True,False,2025-03-08 19:04:29,2025-03-23 19:04:29
37,user37,Mahmoud Youssef,user37@example.com,01056397338,client,menofia,menofia_city_1,81 menofia_city_1 st,True,False,2025-02-16 09:18:12,2025-11-05 09:18:12
38,user38,Sherif Hassan,user38@example.com,01010226999,client,asyut,asyut_city_3,138 asyut_city_3 st,True,False,2024-10-22 06:39:01,2025-10-01 06:39:01
39,user39,Samar Said,user39@example.com,01026726926,client,luxor,luxor_city_2,77 luxor_city_2 st,True,False,2024-04-18 16:48:45,2025-03-26 16:48:45
40,user40,Salma Ahmed,,01099245317,client,aswan,aswan_city_2,174 aswan_city_2 st,True,False,2025-04-04 06:49:29,2025-07-03 06:49:29
41,user41,Salma Ali,user41@example.com,01038210242,worker,matrouh,matrouh_city_2,149 matrouh_city_2 st,True,False,2025-09-22 19:34:46,2026-03-06 19:34:46
42,user42,Hend Fouad,user42@example.com,01032775593,worker,qena,qena_city_2,73 qena_city_2 st,True,False,2024-11-27 23:21:56,2025-10-18 23:21:56
43,user43,Mona Khaled,user43@example.com,01029777514,worker,aswan,aswan_city_1,,True,False,2024-12-30 20:32:09,2025-08-31 20:32:09
44,user44,Omar Rashad,user44@example.com,01076354180,worker,giza,giza_city_2,38 giza_city_2 st,True,False,2025-10-05 19:28:50,2025-10-08 19:28:50
45,user45,Noha Hamdy,,01043446826,client,sohag,sohag_city_1,32 sohag_city_1 st,True,False,2024-09-30 05:31:50,2025-05-26 05:31:50
46,user46,Fatma Said,user46@example.com,01077750178,worker,fayoum,fayoum_city_3,141 fayoum_city_3 st,True,False,2025-05-07 21:43:30,2025-07-28 21:43:30
47,user47,Maha Adel,user47@example.com,01042111036,worker,qena,qena_city_2,20 qena_city_2 st,True,False,2025-01-19 01:45:55,2025-05-20 01:45:55
48,user48,Hussein Ahmed,,01061410126,client,aswan,aswan_city_2,181 aswan_city_2 st,True,False,2026-04-19 02:20:04,2026-11-18 02:20:04
49,user49,Yasmin Hassan,,01066390708,client,aswan,aswan_city_3,198 aswan_city_3 st,True,False,2025-12-24 18:55:01,2026-12-16 18:55:01
50,user50,Ahmed Mostafa,,01062343121,client,matrouh,matrouh_city_2,108 matrouh_city_2 st,True,False,2026-01-10 23:05:36,2026-10-17 23:05:36
51,user51,Maha Tawfik,user51@example.com,01062191530,worker,gharbia,gharbia_city_2,174 gharbia_city_2 st,True,False,2024-12-06 20:37:53,2025-03-01 20:37:53
52,user52,Mohamed Naguib,user52@example.com,01098986321,worker,sharqia,sharqia_city_3,,True,False,2026-04-09 17:34:20,2026-06-18 17:34:20
53,user53,Nadia Shaker,,01053868501,worker,qalyubia,qalyubia_city_1,98 qalyubia_city_1 st,True,False,2025-02-08 03:19:49,2025-09-12 03:19:49
54,user54,Reem Hassan,user54@example.com,01056970882,client,giza,giza_city_2,18 giza_city_2 st,True,False,2024-01-31 02:39:40,2024-12-30 02:39:40
55,user55,Mohamed Said,,01026941092,client,cairo,cairo_city_1,30 cairo_city_1 st,True,False,2024-11-05 16:42:17,2025-02-25 16:42:17
56,user56,Youssef Said,user56@example.com,01025372341,worker,kafr_el_sheikh,kafr_el_sheikh_city_2,42 kafr_el_sheikh_city_2 st,True,False,2025-07-27 01:24:32,2025-09-21 01:24:32
57,user57,Sara Rashad,,01089470029,worker,cairo,cairo_city_2,161 cairo_city_2 st,True,False,2025-08-06 00:27:27,2026-07-29 00:27:27
58,user58,Mahmoud Mostafa,user58@example.com,01098787891,client,damietta,damietta_city_3,130 damietta_city_3 st,True,False,2024-07-07 01:15:35,2024-07-14 01:15:35
59,user59,Mariam Gamal,user59@example.com,01071705170,client,minya,minya_city_1,112 minya_city_1 st,True,False,2025-11-04 10:55:25,2026-07-30 10:55:25
60,user60,Dina Tawfik,user60@example.com,01089520597,client,port_said,port_said_city_3,63 port_said_city_3 st,True,False,2026-01-21 02:05:36,2026-03-07 02:05:36
61,user61,Nadia Shaker,,01053622663,client,qena,qena_city_1,,True,False,2025-12-22 21:35:14,2026-05-04 21:35:14
62,user62,Salma Ali,user62@example.com,01035643159,client,menofia,menofia_city_3,,True,False,2025-03-05 04:02:20,2025-11-11 04:02:20
63,user63,Shaimaa Hamdy,user63@example.com,01022489409,worker,gharbia,gharbia_city_3,104 gharbia_city_3 st,True,False,2026-01-09 14:02:15,2026-06-15 14:02:15
64,user64,Ghada Tawfik,user64@example.com,01083871890,worker,luxor,luxor_city_2,180 luxor_city_2 st,True,False,2026-04-04 18:12:15,2026-09-08 18:12:15
65,user65,Laila Youssef,user65@example.com,01034850391,client,gharbia,gharbia_city_1,,True,False,2024-10-26 04:03:46,2025-03-17 04:03:46
66,user66,Karim Hussein,,01058436637,worker,beni_suef,beni_suef_city_3,,True,False,2025-03-15 14:57:22,
67,user67,Ali Yasser,,01026948946,worker,sharqia,sharqia_city_2,193 sharqia_city_2 st,True,False,2024-03-11 16:56:53,2024-03-18 16:56:53
68,user68,Fatma Shaker,,01016895666,worker,ismailia,ismailia_city_2,123 ismailia_city_2 st,True,False,2026-01-13 15:45:33,2026-02-16 15:45:33
69,user69,Khaled Ahmed,user69@example.com,01050780112,client,minya,minya_city_1,,True,False,2024-03-24 06:41:28,2025-01-04 06:41:28
70,user70,Noha Naguib,user70@example.com,01069421007,client,port_said,port_said_city_3,151 port_said_city_3 st,True,False,2024-12-16 14:13:34,2025-05-22 14:13:34
71,user71,Mostafa Gamal,,01098641164,worker,port_said,port_said_city_1,,True,False,2024-06-03 03:41:44,2025-03-13 03:41:44
72,user72,Fatma Rashad,user72@example.com,01049092160,client,qalyubia,qalyubia_city_1,,True,False,2025-09-26 14:38:20,2026-02-18 14:38:20
73,user73,Sherif Gamal,user73@example.com,01036550845,worker,giza,giza_city_3,140 giza_city_3 st,True,False,2024-12-28 14:40:12,2025-03-15 14:40:12
74,user74,Youssef Fahmy,user74@example.com,01086397676,client,sharqia,sharqia_city_1,113 sharqia_city_1 st,True,False,2024-04-02 15:28:02,2025-03-21 15:28:02
75,user75,Hend Yasser,user75@example.com,01020796722,client,kafr_el_sheikh,kafr_el_sheikh_city_2,111 kafr_el_sheikh_city_2 st,True,False,2025-02-26 22:04:25,2026-01-02 22:04:25
76,user76,Mohamed Hatem,user76@example.com,01087342561,client,cairo,cairo_city_1,,True,False,2024-12-21 14:55:14,2025-08-19 14:55:14
77,user77,Ibrahim Kamel,user77@example.com,01075998319,worker,suez,suez_city_2,121 suez_city_2 st,True,False,2025-03-08 02:25:43,2025-08-26 02:25:43
